0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
1,21,18,22,22,23,21,24,24,18,22,16,16,20,20,21,18,21,15,18,24,23,25,22,22,24,15,24,23,20,25,22,24,21,15,23,22,24,23,22,18,16,15,20,25,24,17,16,19,17,22,17,20,17,16,16,23,22,18,15,24,20,23,17,25,25,16,21,15,25,17,25,24,23,21,17,22,22,21,17,23,19,19,19,15,17,21,20,17,15,24,15,18,18,16,18,24,23,19,20,22,18,19,19,17,21,21,24
2,25,21,21,19,17,16,25,23,15,16,24,24,17,19,22,25,20,18,22,25,20,21,18,21,21,25,16,19,24,15,24,15,20,24,16,22,15,23,25,20,15,21,21,16,16,23,16,16,18,19,15,18,25,20,24,20,25,17,23,22,20,15,15,18,23,22,22,24,20,25,15,23,18,18,20,15,19,18,16,19,21,21,20,22,19,25,20,22,15,20,25,21,16,18,25,25,18,17,21,18,20,22,18,20,20,22,20
3,17,22,25,24,19,17,21,15,23,21,24,19,23,22,19,25,15,15,16,16,17,21,21,17,19,19,24,22,18,21,22,24,17,16,18,25,20,18,22,18,20,15,15,18,23,25,22,16,15,20,17,19,24,17,24,22,23,17,15,17,19,19,16,17,20,18,16,22,19,15,19,17,18,17,24,15,20,24,25,20,24,21,20,20,18,22,16,19,24,16,23,18,24,15,24,21,15,20,21,25,22,17,24,21,20,16,16
4,17,19,19,25,24,21,21,15,22,25,15,22,24,17,23,20,17,17,19,21,15,20,22,15,25,24,25,24,15,18,16,21,19,18,21,16,19,20,16,19,21,16,16,20,17,17,20,23,24,21,23,23,23,17,18,16,16,15,16,24,22,20,17,21,24,24,22,23,25,16,22,18,25,20,23,19,20,18,17,19,22,20,22,19,23,15,21,20,17,22,16,17,19,16,22,25,20,15,20,22,15,18,20,21,17,17,21
5,24,16,18,22,21,23,21,22,18,18,23,24,15,20,15,22,24,19,21,19,16,16,21,23,25,25,19,25,23,15,15,20,15,19,25,22,24,15,19,20,22,19,19,20,25,20,16,20,20,23,16,18,22,18,16,24,25,20,16,25,15,17,17,16,18,16,21,25,25,20,19,18,17,20,19,19,20,23,20,20,18,20,22,18,18,19,22,17,19,18,15,19,17,15,21,21,20,18,19,20,16,20,23,25,20,24,16
6,24,23,20,25,24,15,24,19,18,25,16,18,15,19,15,21,16,20,16,15,24,16,25,23,21,24,23,23,23,21,25,18,18,24,23,22,23,19,23,24,25,18,20,19,19,23,19,17,23,16,21,24,24,17,22,24,20,20,17,16,15,20,18,23,22,15,15,17,17,21,22,23,16,20,21,22,22,17,19,22,21,21,24,20,25,19,25,15,18,18,24,18,20,24,19,21,25,15,16,22,22,24,15,23,22,25,24
7,21,20,16,23,23,24,24,23,21,22,19,24,22,15,18,20,22,22,19,19,25,21,19,25,20,19,19,22,16,20,20,20,24,17,22,23,24,20,15,20,17,22,23,17,18,16,23,21,17,21,24,23,23,16,23,18,20,24,25,22,18,19,23,19,16,25,19,24,20,20,23,20,16,25,22,16,24,19,25,17,19,18,23,22,23,18,16,17,19,22,17,22,22,15,22,17,24,18,23,22,20,16,15,19,17,21,25
8,22,15,23,16,19,16,19,21,18,24,15,24,22,22,16,16,17,20,17,19,22,19,19,17,15,15,25,25,23,25,22,16,24,21,24,21,16,23,21,19,20,23,23,23,15,21,16,24,21,15,20,21,18,22,18,23,20,23,20,19,17,17,24,22,21,25,22,17,22,15,18,24,18,20,16,21,20,24,17,19,24,15,16,22,15,16,17,22,23,17,19,19,20,18,18,19,19,22,16,17,16,16,17,25,23,19,15
9,22,18,23,21,18,16,22,22,17,19,22,15,15,19,22,23,20,25,15,20,23,18,15,17,15,18,18,18,16,18,20,15,15,25,22,18,17,19,21,20,22,21,16,22,20,23,25,20,16,25,19,19,21,16,23,19,24,21,21,16,22,15,23,24,17,20,21,24,21,23,21,25,21,17,25,21,19,23,17,19,19,22,21,19,15,24,15,20,22,18,17,18,20,23,25,17,21,23,20,15,23,18,16,16,22,23,25
10,24,16,18,18,22,15,22,18,17,17,16,23,16,22,17,15,18,19,21,24,22,22,16,15,22,19,24,18,24,22,22,22,20,17,24,18,23,21,23,17,18,22,24,23,20,20,24,19,15,23,17,22,15,21,21,18,15,20,16,24,19,21,16,23,25,21,18,20,25,17,17,18,23,17,16,15,16,16,15,25,22,17,15,19,15,16,20,15,20,17,15,22,18,22,16,18,24,18,25,16,17,20,17,16,17,20,17
